symbol,asof_date,close,avg_turnover_60d
360ONE,2026-08-07,1168.0999755859375,1269523591.6395142
3MINDIA,2026-08-07,36035.0,161261373.16666666
AADHARHFC,2026-08-07,506.3999938964844,245096376.72756246
AARTIIND,2026-08-07,502.1000061035156,629215285.5803167
AAVAS,2026-08-07,1371.5,188012632.81217855
ABB,2026-08-07,7600.0,2794822647.25
ABBOTINDIA,2026-08-07,27835.0,280744372.0833333
ABCAPITAL,2026-08-07,408.04998779296875,1607273598.1512802
ABDL,2026-08-07,599.25,286686704.92332155
ABFRL,2026-08-07,63.33000183105469,333245265.3892029
ABLBL,2026-08-07,93.86000061035156,94689209.20702934
ABREL,2026-08-07,1382.800048828125,244379255.02484944
ABSLAMC,2026-08-07,1025.300048828125,412811860.1024587
ACC,2026-08-07,1362.800048828125,247318191.20829263
ACE,2026-08-07,1094.300048828125,500025245.37391055
ACMESOLAR,2026-08-07,368.6000061035156,835341153.4110402
ACUTAAS,2026-08-07,3297.89990234375,1411636546.3973715
ADANIENSOL,2026-08-07,1630.0999755859375,4323455406.738141
ADANIENT,2026-08-07,3020.0,6304404739.140796
ADANIGREEN,2026-08-07,1372.4000244140625,4728204073.935518
ADANIPORTS,2026-08-07,1693.5,3929889923.3962502
ADANIPOWER,2026-08-07,209.0,7309628146.49813
AEGISLOG,2026-08-07,1371.0,3332575286.634613
AEGISVOPAK,2026-08-07,285.29998779296875,498717925.2895668
AFCONS,2026-08-07,274.25,514922089.03911996
AFFLE,2026-08-07,1645.5999755859375,520139414.3044678
AIAENG,2026-08-07,4776.0,482475420.1776611
AIIL,2026-08-07,596.5999755859375,491278311.1357351
AJANTPHARM,2026-08-07,3489.199951171875,426957106.8731527
ALKEM,2026-08-07,5620.0,854373888.8583333
AMBER,2026-08-07,7435.0,2983976918.5916667
AMBUJACEM,2026-08-07,434.0,1300764160.1939056
ANANDRATHI,2026-08-07,2101.5,1105416532.937732
ANANTRAJ,2026-08-07,615.9000244140625,1572433111.8236918
ANGELONE,2026-08-07,292.0,2397692721.6146317
ANTHEM,2026-08-07,841.0,522726465.6092916
ANURAS,2026-08-07,1214.5999755859375,402519936.3885376
APARINDS,2026-08-07,16631.0,2317235311.6666665
APLAPOLLO,2026-08-07,1970.0,1247691692.744751
APOLLOHOSP,2026-08-07,8945.0,3034599660.1666665
APOLLOTYRE,2026-08-07,445.0,553757386.2921427
APTUS,2026-08-07,260.6499938964844,285285836.4091476
ARE&M,2026-08-07,931.7000122070312,827975791.7507681
ASAHIINDIA,2026-08-07,898.7000122070312,135690417.16429037
ASHOKLEY,2026-08-07,177.5,4007868325.0809317
ASIANPAINT,2026-08-07,2735.0,3290247219.839762
ASTERDM,2026-08-07,869.7000122070312,528675457.66502887
ASTRAL,2026-08-07,1444.0,1006663119.5705546
ATGL,2026-08-07,657.5499877929688,3998174355.887916
ATHERENERG,2026-08-07,1481.5,5462693184.048516
ATUL,2026-08-07,6774.0,286520850.96666664
AUBANK,2026-08-07,1067.0,1948221947.4822683
AUROPHARMA,2026-08-07,1658.0,1969714334.66179
AWL,2026-08-07,197.5,622974603.257475
AXISBANK,2026-08-07,1238.0,9253423408.31295
BAJAJ-AUTO,2026-08-07,11662.0,4302772841.8
BAJAJFINSV,2026-08-07,2008.9000244140625,2386265374.8661113
BAJAJHFL,2026-08-07,85.79000091552734,390931040.6123093
BAJAJHLDNG,2026-08-07,11263.0,550236807.2833333
BAJFINANCE,2026-08-07,1078.0,9943790306.503397
BALKRISIND,2026-08-07,2466.300048828125,702957136.040747
BALRAMCHIN,2026-08-07,633.4500122070312,404035910.7076436
BANDHANBNK,2026-08-07,176.02000427246094,2573610140.5165915
BANKBARODA,2026-08-07,250.6999969482422,3313555843.7187266
BANKINDIA,2026-08-07,145.0,1375978638.5133722
BATAINDIA,2026-08-07,720.5,378569190.1223745
BAYERCROP,2026-08-07,4177.2001953125,161518564.36879882
BBTC,2026-08-07,1504.0999755859375,55230012.390802
BDL,2026-08-07,1294.0,1646281289.6285257
BEL,2026-08-07,401.0,5266028670.639781
BELRISE,2026-08-07,248.2100067138672,1120069887.9079194
BEML,2026-08-07,1787.800048828125,473671952.1137024
BERGEPAINT,2026-08-07,530.5499877929688,314857952.9800074
BHARATFORG,2026-08-07,2265.199951171875,2224193639.0760193
BHARTIARTL,2026-08-07,1959.9000244140625,14761562060.593119
BHARTIHEXA,2026-08-07,1538.800048828125,302303624.48151857
BHEL,2026-08-07,405.20001220703125,5434592882.903131
BIKAJI,2026-08-07,623.5,102758985.15614726
BIOCON,2026-08-07,426.3500061035156,2102745664.4371068
BLS,2026-08-07,254.3300018310547,494220525.01920754
BLUEDART,2026-08-07,5089.5,127287056.47107747
BLUEJET,2026-08-07,593.9000244140625,592447848.3702062
BLUESTARCO,2026-08-07,1514.0,747215126.1262654
BOSCHLTD,2026-08-07,42950.0,1576282587.75
BPCL,2026-08-07,321.0,2491117944.150976
BRIGADE,2026-08-07,581.9500122070312,379131737.624529
BRITANNIA,2026-08-07,5510.0,1706318470.2333333
BSE,2026-08-07,3457.10009765625,13645076169.177853
BSOFT,2026-08-07,318.5,634065567.648701
CAMS,2026-08-07,787.5,964679571.175181
CANBK,2026-08-07,131.9499969482422,3715674179.2273097
CANFINHOME,2026-08-07,811.2999877929688,219933809.58437195
CANHLIFE,2026-08-07,152.19000244140625,276192802.8691251
